date,description,amount,balance,category
2026-07-01,Nomina,2545.00,3715.00,Ingresos
2026-07-03,Transferencia ahorro,-292.00,3423.00,Ahorro
2026-07-05,Alquiler vivienda,-870.00,2553.00,Vivienda
2026-07-08,Supermercado,-140.00,2413.00,Alimentacion
2026-07-10,Factura suministros,-84.00,2329.00,Suministros
2026-07-14,Gasolina,-81.00,2248.00,Transporte
2026-07-18,Restaurante y ocio,-76.00,2172.00,Ocio
2026-07-22,Farmacia,-24.80,2147.20,Salud
2026-07-25,Cuota gimnasio,-35.40,2111.80,Bienestar
2026-07-27,Reembolso gastos,59.00,2170.80,Ingresos
2026-07-28,Intereses cuenta,8.25,2179.05,Ingresos
